#,Name,Team,ESPN,Y!,$,$/G,G,PA,AB,R,H,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,R%,RazzID
111,Cooper Pratt,MIL,SS,SS,0.1,33.0,4,14,12,1,4,0,2,2,0,1,4,0.333,0.357,0.333,0.690,0,806198
112,Blake Perkins,MIL,OF,OF,-0.2,70.3,3,10,10,2,4,1,3,0,0,0,3,0.400,0.400,0.900,1.300,0,663368
113,Gunnar Henderson,BAL,SS,SS,-0.3,21.7,6,25,22,3,4,2,5,0,0,2,6,0.182,0.280,0.455,0.735,100,683002
114,Isaac Paredes,HOU,3B,3B,-0.5,29.2,5,21,16,3,5,1,3,0,0,3,4,0.313,0.476,0.625,1.101,98,670623
115,Gabriel Moreno,ARI,C,C,-0.7,32.4,5,23,21,1,8,1,3,0,0,1,2,0.381,0.435,0.619,1.054,100,672515
116,Marcus Semien,NYM,2B,2B,-0.9,19.2,6,26,22,3,6,1,4,0,0,4,6,0.273,0.385,0.500,0.885,62,12533
117,Jonathan Aranda,TB,1B,1B,-0.9,19.2,6,26,23,3,7,1,3,0,0,2,5,0.304,0.385,0.478,0.863,100,666018
118,Jose Siri,LAA,OF,OF,-1.1,18.0,6,16,13,2,2,2,5,0,0,2,5,0.154,0.313,0.615,0.928,0,642350
119,Colt Emerson,SEA,SS/3B,SS/3B,-1.4,14.7,6,20,19,2,4,1,4,1,0,1,5,0.211,0.250,0.368,0.618,98,806068
120,Kody Clemens,MIN,1B/2B/ OF,1B/2B/ OF,-1.8,19.5,6,27,26,3,7,1,4,0,0,1,5,0.269,0.296,0.423,0.719,96,665019
121,John Rave,KC,OF,OF,-2.1,58.0,3,9,6,3,3,1,1,0,0,3,1,0.500,0.667,1.500,2.167,0,670231
122,Justin Crawford,PHI,OF,OF,-2.3,10.5,6,17,17,2,6,0,2,1,0,0,4,0.353,0.353,0.353,0.706,40,702222
123,Christian Yelich,MIL,DH,OF,-2.5,25.8,5,24,20,4,5,1,3,0,0,3,6,0.250,0.333,0.450,0.783,100,11477
124,Pedro Ramirez,CHC,3B,3B,-3.4,23.2,5,13,13,1,5,1,3,0,0,0,2,0.385,0.385,0.692,1.077,0,699393
125,Freddie Freeman,LAD,1B,1B,-3.6,16.2,6,27,23,3,5,2,3,0,0,4,3,0.217,0.333,0.478,0.812,100,5361
126,Maikel Garcia,KC,3B,2B/SS/ 3B/OF,-3.6,32.3,4,14,13,0,4,0,5,1,0,1,3,0.308,0.357,0.385,0.742,99,672580
127,Jarren Duran,BOS,OF,OF,-3.6,15.5,6,25,23,3,5,2,3,0,0,2,7,0.217,0.280,0.478,0.758,100,680776
128,Junior Caminero,TB,3B,3B,-4.6,13.5,6,24,23,2,7,1,3,0,0,1,8,0.304,0.333,0.478,0.812,100,691406
129,Nathan Lukes,TOR,OF,OF,-5.1,11.8,6,22,21,2,7,1,2,0,0,1,3,0.333,0.364,0.571,0.935,14,18123
130,Michael Harris II,ATL,OF,OF,-5.1,50.0,3,9,8,3,3,1,1,0,0,1,2,0.375,0.444,0.750,1.194,100,671739
131,Dylan Crews,WSH,OF,OF,-5.1,13.2,6,23,23,3,4,1,6,0,0,0,4,0.174,0.174,0.348,0.522,98,686611
132,Alika Williams,ATH,2B/SS,2B/SS,-5.2,27.8,4,12,11,2,6,0,1,0,0,1,2,0.545,0.583,0.818,1.402,0,675961
133,Justin Foscue,TEX,1B/2B,1B/2B,-5.3,15.4,5,10,9,2,4,1,1,0,0,1,1,0.444,0.500,0.778,1.278,1,679822
